Company Name,Similar Name,Same/Different,Category,Country same or not,Parent same or not,Unnamed: 6
HARRIS COUNTY CSCD,HARRIS COUNTY,same,one word missing,same,,
HARRIS COUNTY CSCD,HARRIS COUNTY ITC,same,last word different,same,,
RICHLAND COUNTY EMERGENCY SERVICES,LANDER COUNTY EMERGENCY SERVICES,different,first word different,same,,
CS RECURSOS GEOTERMICO ICE,CS RECURSOS GEOTAARMICO ICE,same,mispell,same,,
HARRIS COUNTY ITC,HARRIS COUNTY ,same,one word missing,same,,
1ST NATIONAL COMMUNITY BANK,1ST NATIONAL BANK,same,one word missing,same,,
1ST NATIONAL BANK ST LUCIA,1ST NATIONAL BANK,different,last word different,different,,
FIRST NATIONAL BANK AND TRUST,FIRST NATIONAL BANK TRUST,same,one word missing,same,,
1ST NATIONAL COMMUNITY BANK,COMMUNITY FIRST NATIONAL BANK,different,ordering different,same,,
20TH CENTURY FOX FILM,20TH CENTURY FOX CONFIG CTR,same,last word different,same,,
4TH CIRCUIT COURT OF APPEALS,4TH CIRCUIT COURT,same,one word missing,same,,
4TH CIRCUIT COURT OF APPEALS,COURT OF APPEALS 4TH CIRCUIT,same,ordering different,same,,
WOODWARDOHMS,"WOODWARD
",same,,same,,
WORKERS COMPENSATION BOAR,WORKERS COMPENSATION BOARD,same,mispell,same,,
WORKERS COMPENSATION BOARD OF BRITISH COLUMBIA,WORKERS COMPENSATION BOARD OF PRINCE EDWARD ISLAND,different,,same,parent same should be same or different,
5TH CIRCUIT COURT,7TH CIRCUIT COURT,different,,same,,
513TH ELECTRIC WARFARE SQUADRON,5TH ELECTROMAGNETIC WARFARE SQUADRON,different,,same,,
ORIFLAME CHILE,ORIFLAME COLOMBIA,different,,different,,
ORIFLAME DEL ECUADOR,ORIFLAME MEXICO,different,,different,,
ORION,ORIZON,different,,same,,
5 STONES RESEARCH,"FIVE STONES RESEARCH
",same,number as word,same,,
6TH MEDICAL GROUP,6TH MEDICAL GROUP DEFENSE HEALTH AGENCY,same,extra words,same,,
911SISTEMA NACIONAL ATENCION A EMERGENCIAS Y SEGURIDAD,SISTEMA NACIONAL ATENCION A EMERGENCIAS Y SEGURIDAD 911,same,ordering different,same,,
SISTEMA PARA EL DESARROLLO INTEGRAL LA FAMILIA BAJA CA,SISTEMA PARA EL DESARROLLO INTEGRAL LA FAMILIA BAJA CALIFORNIA,same,last word different,same,,
TELEKOM SALES SERVICES SDN,TELEKOM SMART SCHOOL SDN,different,,same,,
DOWNER EDI PROPERTIES,DOWNER EDI SERVICES PTY,different,,same,,subsidiaries
DOWNER EDI WORKS,DOWNER GROUP,different,,same,,subsidiaries
NEW ZEALAD DEFENCE FORCE,NZ DEFENCE FORCE,same,first word different,same,,
NEW ZEALAND POLICE,NEW ZEALAD DEFENCE FORCE,different,,same,,
ASIAN DEVELOPMENT BANK,ASIAN UNION BANK,different,one word different,same,,
BANC D'ORP,BDO UNIBANK,same,short form,same,,
BANCO ORO UNIVERSAL BANK,BDO UNIBANK,same,short form,same,,
BANCO ORO UNIVERSAL BANK,BANC D'ORO UNIVERSAL BANK,same,mispell,same,,
ALEXANDRA HEALTH,ALEXANDRA HOSPITAL,same,last word different,same,,
PARKWAY PANTAI,PARKWAY SHENTON,different,last word different,same,,
19TH JUDICIAL DISTRICT COURT,19TH JUDICIAL CIRCUIT,same,last word different,same,different,
1FLORIDA INTERNATIONAL UNIVERSITY RECREATION C,1FLORIDA INTERNATIONAL UNIVERSITY RECREATION C,same,,same,different,
1ST NATIONAL BANK ST LUCIA,1ST NATIONAL BANK,different,last word different,different,different,
COMMISSIONER OF PUBLIC WORKS,COMMISSIONERS OF PUBLIC WORKS,same,mispell,same,same,
COMMONWEALTH BANK,COMMONWEALTH CAPITAL,different,last word different,different,different,
COMMONWEALTH LAND TITLE,COMMONWEALTH LAND TITLE INSURANCE,same,one word missing,same,same,
COMMONWEALTH COURT OF PA,COMMONWEALTH COURT OF PENNSYLVANIA,same,short form,same,same,
2MI INFORMATICA,2MI TECNOLGOIA E INFORMATICA,same,first and last word similar,same,different,
2S INOVACOES TECNOLOGICAS,2S INOVACOES TECNOLOGICAS,same,exact same ,same,different,
3M COGENT,3M CANADA,different,last word different,different,same,
83 FWS,83 FWS DO4,same,one word missing,same,same,
A R,A R ENGINEERING,same,one word missing,same,same,
A F L A C AGENT,A F L A C,same,one word missing,same,same ,
AAM INCORPORADORA IMOVEIS L,AAM INCORPORADORA IMOVEIS,same,one character missing ,same,same,
ABACUS IT,ABACUS SETTLEMENTS,different,last word different,same,same,
ABBOTT LABOROTORIES,ABBOTT LABS,same,short form,same,same,
ABC NEWS,ABC NEWS RADIO,same,one word missing,same,same,
ACCIDENT FUND,ACCIDENT FUND,different,exact same ,same,different ,
ACE BERMUDA INSURANCE,ACE BERMUDA INSURANCE,different,exact same ,same,different ,
1 ACOS,1 ACOS/SCOT,same,last word different,same,same,
3S NETWORKS EIRELI,3S NETWORKS ME,different,last word different ,same,different,
A P TECHNOLOGY,A M TECHNOLOGY,different,one char different ,same,different,
A R,A R ENGINEERING,same,last word missing,same,same,
A ANGELONI COMPANHIA,A ANGELONI CIA,same,last word different ,same,different,
ADAMS KEEGAN,ADAMS FOAM,different,last word different,same,different,
ADAPTIVE OPTICS,ADAPTIVE OPTICS ASSOCIATES,same,extra word last,same,same,
ADAPTIVE OPTICS,ADAPTIVE INSIGHTS,different,last word different ,same,different,
ADCO INDUSTRIES,ADCO GROUP,different,last word different ,same,different,
ADCOS INDUSTRIAL E COMERCIO,ADCOS INDUSTRIA E COMERCIO,same,misspell,same,same,
ADDOC ADMINISTRACION DOCUMENTOS,ADDOC,same,extra words,same,same,
ADECCO USA,ADECCO TERTIAIRE,same,last word different,same,same,
ADEMCO RES HEADQUARTERS US,ADEMCO,same,extra words,same,same,
ADEXUS PERU,ADEXUS PERU A,same,extra words,same,same,
ADEXUS PERU,ADEXUS CHILE,different,last word different,different,different,
ADIDAS CHILE,ADIDAS ARGENTINA,different,last word different,different,different,
ADIDAS CHILE ,ADIDAS CHILE SUCURSAL DEL PERU,different,extra words,different,different,
ADISTEC BOLIVIA,ADISTEC ARGENTINA,different,last word different,different,different,
ADISTEC MIAMI,ADISTEC ECUADOR,different,last word different,different,different,
ADITIVOS MEXICANOS ADITIVOS MEXICANOS,ADITIVOS MEXICANOS,same,extra words,same,same,
ADM PARAGUAY SRL ADM PARAGUAY,ADM PARAGUAY SRL,different,extra words,same,different,
ADMINISTRACIAAN PORTUARIA INTEGRAL MANZANILLO,ADMINISTRACIAAN PORTUARIA INTEGRAL ENSENADA,different,last word different,same,different,
ADMINISTRACION COMPENSACIONES POR ACCIDENTES AUTOMOVILES,ADMINISTRACION COMPENSACION POR ACCIDENTES AUTOMOVILES,same,one word differnt,same,same,
ADMINISTRACION SEGUROS SALUD PR,ADMINISTRACION SEGUROS SALUD,same,extra words,same,same,
ADMINISTRACION SEGUROS DESALUD PUERTO RICO,ADMINISTRACION SEGUROS SALUD PUERTO RICO,same,misspell,same,same,
ADITUS SRL,ADIUM PHARMA,different,last word different,different,different,
ADMINISTRACION FEDERAL INGRESOS PUBLICOS,ADMINISTRACION FEDERAL INGRESOS PUBLICOSAFIP,different,last word different,same,same,
ADMINISTRACION GENERAL PUERTOS,ADMINISTRACION GENERAL PUERTOS SE,same,one word extra,same,same,
ADMINISTRATIVE OFFICE OF US COURTS,ADMINISTRATIVE OFFICE OF UNITED STATES COURTS,same,short form used,same,same,
ADVANCED COMMUNICATION TECHNOLOGIES,ADVANCED COMMUNICATIONS TECHNOLOGY,same,plural forms used,same,same,
ADVANCED MICRO SERVICES,ADVANCED MICRO DEVICES,different,last word different,same,same,
ADVANCED SCIENCES TECHNOLOGY,ADVANCED SCIENCE TECHNOLOGIES,different,plural forms used,different,different,
ADVANSIX CHESTERFIELD PLANT ADVANSIX,ADVANSIX CHESTERFIELD PLANT,same,extra  words,same,same,
ADVENTIST HEALTH CARE,ADVENTIST HEALTH CARE ADVENTIST HEALTH SYSTEM/SUNBELT,same,extra words ,same,same,
ADVENTIST HEALTH SYSTEM SUNBEL,ADVENTIST HEALTH SYSTEM SUNBELT,same,mis spell,same,same,
ADVOCATE HEALTH AND HOSPITALS A,ADVOCATE HEALTH AND HOSPITALS,same,extra character,same,same,
ADVOCATE HEALTH CARE NETWORK A,ADVOCATE HEALTH CARE NETWORK,same,extra character,same,same,
AEG WORLDWIDE PO 23598,AEG WORLDWIDE PO 24090,different,different numbers,same,same,
AEGON DIRECT MARKETING SERVICES,AEGON DIRECT MARKETING SERVICE,same,plural forms used/mis spell,same,same,
AEQUITAS INNOVATIONS C O Q9,AEQUITAS INNOVATIONS,same,extra character,same,same,
AEROJET ROCKETDYNE HOLDINGS,AEROJET ROCKETDYNE OPERATIONS,same,last word different,same,same,
AFFILIATED COMPUTER SERVICES,AFFILIATED COMPUTER SERVICES I,same,extra character,same,same,
AGENCE METROPOLITAINE TRANSPORTATION,AGENCE METROPOLITAINE TRANSPORTATION RSEAU TRANSPORT MTROPOLITAIN,same,extra words,same,same,
AGENCIA BRASILEIRA INTELIGENCIA ABIN,AGENCIA BRASILEIRA INTELIGENCIA,same,extra words,same,different,
AFLAC DISTRICT OFFFICE,AFLAC DISTRICT OFFICE,same,mis spell,same,same,
AFLAC DISTRICT SALES OFFICE,AFLAC DISTRICT SALES SERVICE,same,last word different,same,same,
AFLAC REGINAL OFFICE,AFLAC REGIONAL OFFICE,same,mis spell,same,same,
SERVICIO EXTREMENO SALUD,SALUD EXTREMADURA,same,1st word missing / sequence changed,,same,
SERVICIO EXTREMENO SALUD,JUNTA EXTREMADURA,different,2 words missing,,same,
HASBRO AUSTRALIA,HASBRO,same,2nd word missing,,same,
HASBRO AUSTRALIA,HASBRO HASBRO,same,last word different,,same,
HASBRO AUSTRALIA,HASBRO INTERNATIONAL,same,last word different,,same,
AMICORP MANAGEMENT INDIA,AMICORP HOLDING,different,last 2 words different,different,different,
AMICORP MANAGEMENT INDIA,AMICORP HOLDINGS,different,last 2 words different,different,different,
AMICORP HOLDING,AMICORP HOLDINGS,same,last character missing,,same,
INDITEX,INDITEX_SA,same,extra characters,,same,
MANTECH INTERNATIONAL,MANTECH MBI,different ,,same,same,Subsidiary/Child companies
MANTECH INTERNATIONAL,MANTECH MSM SECURITY SERVICES,different ,,same,same,Subsidiary/Child companies
MANTECH INTERNATIONAL,MANTECH SECURITY,different ,,same,same,Subsidiary/Child companies
MANTECH INTERNATIONAL,MANTECH SECURITY TECHNOLOGIES,different ,,same,same,Subsidiary/Child companies
MANTECH INTERNATIONAL,MANTECH TELECOMMUNICATIONS AND INFORMATION SYSTEMS,different ,,same,same,Subsidiary/Child companies
MANTECH INTERNATIONAL,MANTECH,different ,,same,same,Subsidiary/Child companies
MANTECH INTERNATIONAL,MANTECH FEDERAL,different ,,same,same,Subsidiary/Child companies
MANTECH INTERNATIONAL,MANTECH ADVANCED SYSTEMS INTERNATIONAL,different ,,same,same,Subsidiary/Child companies
MANTECH INTERNATIONAL,MANTECH COMMAND CONTROL SYSTEMS,different ,,same,same,Subsidiary/Child companies
MANTECH INTERNATIONAL,MANTECH CYBER SOLUTIONS INTERNATIONAL,different ,,same,same,Subsidiary/Child companies
MANTECH INTERNATIONAL,MANTECH ELECTRONICS INTEROPERABILITY SERVICES,different ,,,,Subsidiary/Child companies
CSX,CSX INTERMODAL,different,,,,Subsidiary/Child companies
CSX,CSX TECHNOLOGY,different,,,,Subsidiary/Child companies
CSX,CSX TRANSPORTATION,different,,,,Subsidiary/Child companies
CSX,CAMBODIA SECURITIES EXCHANGE (CSX),different,only abbreviation match,different,different,
AL RUYA BILINGUAL SCHOOL,NEW HORIZONS BILINGUAL SCHOOL,different,2 words different,different,different,
AL RUYA BILINGUAL SCHOOL,SAINT PATRICK BILINGUAL SCHOOL,different,2 words different,different,different,
NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN SYSTEM,same,last character missing,same,same,
NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN NORTHROP GRUMMAN SYSTEMS,same,extra word,same,same,
NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN SYSTEMS COR,same,extra word,same,same,
NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN SYSTEMS CORPORATIO,same,extra word,same,same,
NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN SYSTEMS NORTHROP GRUMMAN,same,extra word,same,same,
DXC TECHNOLOGY SERVICES,DXC TECHNOLOGY INDIA,same,,same,,
DXC TECHNOLOGY SERVICES,DXC TECHNOLOGY SERVICES,different,,different,,
DXC TECHNOLOGY SERVICES,DXC TECHNOLOGY NORGE AS,different,,different,different,
DXC TECHNOLOGY SERVICES,DXC TECHNOLOGY SPAIN,different,,different,different,
DXC TECHNOLOGY,DXC TECHNOLOGIES,same,extra characters,same,same,
DXC TECHNOLOGY,DXC TECHNOLOGIES INDIA,different,last word different,different,same,
DXC TECHNOLOGY,DXC TECHNOLOGY (M) SDN,same,last words different,same,same,
DXC TECHNOLOGY,DXC TECHNOLOGY (VPC OPERATIONS),different,last words different,different,same,
DXC TECHNOLOGY,DXC TECHNOLOGY (VPC OPERATIONS) ESHELTER FACILITY SERVICES GMBH,different,last words different,different,same,
DXC TECHNOLOGY AUSTRALIA PTY,DXC TECHNOLOGY AUSTRALIA PTY,different,,different,same,
DXC TECHNOLOGY GERMANY DATACENTER E43,DXC TECHNOLOGY SPAIN,different,,different,same,
DXC TECHNOLOGY GERMANY DATACENTER E43,DXC TECHNOLOGY (VPC OPERATIONS) ESHELTER FACILITY SERVICES GMBH,same,last words different,same,same,
SAMSUNG AUSTIN SEMICONDUCTOR,SAMSUNG ,different,last 2 words missing,same,same,Subsidiary/Child companies
SAMSUNG AUSTIN SEMICONDUCTOR,SAMSUNG ELECTRONICS (SUZHOU) SEMICONDUCTOR,different,,different,same,Subsidiary/Child companies
SAMSUNG CARD,SAMSUNG,different,last word missing,different,same,
INSTITUTO NACIONAL TRAUMATOLOGIA E ORTOPEDIA INTO,INSTITUTO NACIONAL VIAS INVIAS,different,last words missing,different,different,
INSTITUTO NACIONAL TRAUMATOLOGIA E ORTOPEDIA INTO,INSTITUTO NACIONAL TECNOLOGIA INDUSTRIAL,different,last words missing,different,different,
OHIO WESLEYAN UNIVERSITY,OHIO STATE UNIVERSITY,different,1 word different,same,different,
OHIO WESLEYAN UNIVERSITY,OHIO STATE UNIVERSITY MEDICAL CENTER,different,2 words different,same,different,
OXYA,LA POSTE OXYA,different,only last word matching,different,different,
OXYA,OXYA,different,,different,same,
OXYA,OXYA,different,,same,different,
ANHEUSER BUSCH,ANHEUSER BUSCH ANHEUSERBUSCH INCORPORATED,same,extra last 2 words ,same,same,
ANHEUSER BUSCH,ANHEUSERBUSCH,same,missing space,same,same,
ANHEUSER BUSCH,ANHEUSERBUSCH COMPANIES,same,missing space and 1 extra word,same,same,
ANHEUSER BUSCH,ANHEUSERBUSCH INBEV,different,,different,same,
ANHEUSER BUSCH,ANHEUSERBUSCH INBEV ?CHINA?,different,,different,same,
EQUIFAX CANADA,EQUIFAX CANADA,different,,different,same,
EQUIFAX CANADA,EQUIFAX,different,,different,different,
TRIBUNAL JUSTICA DO DISTRITO FEDERAL E TERRITORIOS TJDFT,TRIBUNAL JUSTICA DO DISTRITO FEDERAL E DOS TERRITORIOS,same,last word missing,same,same,
TRIBUNAL JUSTICA DO DISTRITO FEDERAL E TERRITORIOS TJDFT,TRIBUNAL JUSTICA DO DISTRITO FEDERAL,same,last 2 words missing,same,same,
BANFIELD PET HOSPITAL,BANFIELD HOSPITAL,same,1 word missing,same,same,
INTERMEDIA,INTERMEDIX,different,last characters different,same,different,
INTERMEDIA,INTERMEDIA COMUNICACIONES,different,last word different,different,different,
INTERMEDIA,INTERMEDIA HOLDINGS,different,last word different,same,same,Subsidiary/Child companies
INTERMEDIA,INTERMEDIA NET,different,last word different,same,same,Subsidiary/Child companies
INTERMEDIA,INTERMEDIA PARTNERS,different,last word different,same,same,Subsidiary/Child companies
SASKATCHEWAN GOVERNMENT INSURANCE,SASKATCHEWAN GOVERNMENT,same,last word missing,same,same,
SASKATCHEWAN GOVERNMENT INSURANCE,SASKATCHEWAN GOVERNMENT I,same,last word missing,same,same,
BOC INTERNATIONAL HOLDINGS,BOC INTERNATIONAL HONG KONG,same,last word different,same,same,
BOC INTERNATIONAL HOLDINGS,BOC HONG KONG (HOLDINGS),same,,same,same,
BOC INTERNATIONAL HOLDINGS,BOC HONG KONG (GROUP) (HK),same,last words missing,same,same,
NOKIA SHANGHAI BELL,NOKIA SIEMENS NETWORKS (SHANGHAI),same,1 word extra,same,same,
SEOCHO GU OFFICE,SEOCHOGU OFFICE,same,without space,same,same,
SEOCHO GU OFFICE,SEODAEMUNGU OFFICE,same,spelling different,same,same,
SEOCHO GU OFFICE,SEODAEMUNGU CITY MANAGEMENT PUBLIC,same,spelling different,same,same,
EMIRATES NBD,EMIRATES NBD,different,,different,different,
EMIRATES NBD,EMIRATES NBD BANK,different,,different,different,
EMIRATES NBD,EMIRATES OF SAUDI ARABIA,same ,,same,,
YINZHOU BANK,NINGBO YINZHOU RURAL COMMERCIAL BANK,same,,same,same,
BUREAU VERITAS MALI,BUREAU VERITAS,different,,different,same,
BUREAU VERITAS MALI,BUREAU VERITAS HOLDINGS,different,,different,same,
CPC TAIWAN,CPC FINANCE,different,only 1 word matching,different,different,
CPC TAIWAN,CROWN PRINCE COURT CPC,different,only 1 word matching,different,different,
SWISSCOM SCHWEIZ AG,SWISSCOM (SCHWEIZ) AG,same,,same,same,
SWISSCOM SCHWEIZ AG,SWISSCOM AG,same,1 word missing,same,same,
