Company Name,Similar Name,Same/Different,Category,Country same or not,Parent same or not,Unnamed: 6
REFINERIA CARTAGA,REFINERIA CARTAGENA SAS,same,spelling error,same,,
REFINERIA CARTAGA,REFINERIA CARTAGENA,same,spelling error,same,,
REED ELSEVIER,REED ELSEVIER TECHNOLOGY SERVICES,same,,same,,
TERREBONNE PARISH CONSOLIDATED,TERREBONNE PARISH CLERK OF COURT,different,,same,,
UNIVERSITI MALAYSIA TERENGGANU,UNIVERSITI MALAYSIA TERENGGANU (UMT),same,,same,,
FELDA PALM INDUSTRIES SDN,FELDA PRODATA SYSTEMS SDN,different,,same,,
CHINA MOBILE GROUP GUANGXI HECHI BRANCH,CHINA MOBILE GROUP GUANGXI HEZHOU BRANCH,different,different region,same,,
CHINA MOBILE GROUP GUANGXI GUIGANG BRANCH,CHINA MOBILE GROUP GUANGXI GUILIN BRANCH,different,different region,same,,
CHINA MOBILE GROUP GUANGXI CHONGZUO BRANCH,CHINA MOBILE GROUP GUANGXI GUIGANG BRANCH,different,different region,same,,
CHINA MOBILE GROUP GUANGXI BEIHAI BRANCH,CHINA MOBILE GROUP GUANGXI CHONGZUO BRANCH,different,different region,same,,
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI BEIHAI BRANCH,different,different region,same,,
ABEL SMITH SCHOOL ANGELO LUCA,ABEL SMITH SCHOOL WOODHALL CHARITABLE TRUST,different,different region,same,,
YOUR HEALTH CARE,YOUR HEALTHCARE CIC,same,extra space,same,,
YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,same,,same,,
SDIS 78,SDIS 84,different,,same,,
SDIS 12,SDIS 49,different,,same,,
SDIS 12,SDIS 14,different,,same,,
METZ METROPOLE,METZ METROPOLE DEVELOPPEMENT,same,,same,,
JOAO DANIEL FILMES,JOAO FORTES ENGENHARIA,different,,same,,
JOB CORPS CENTER,JOB CORPS DATA CENTER,same,,same,,
JHSF ADMINIST DO CAT AEROP EXEC,JHSF ADMINISTRADORA DO CATARINA AEROPORTO EXECUTIVO,same,short form,same,,
JHU APL,JHUAPL,same,extra space,same,,
LG ENERGY SOLUTION TECHNOLOGY (NANJING),LG ENERGY SOLUTION BATTERY (NANJING),different,,same,,
LG ENERGY SOLUTION (NANJING),LG ENERGY SOLUTION TECHNOLOGY (NANJING),same,,same,,
LG ELECTRONICS(HUIZHOU),LG ELECTRONICS(KUNSHAN),different,belongs to different region,same,,
LG ELECTRONICS NANJING BATTERY PACK,LG ELECTRONICS NANJING VEHICLE COMPONENTS,different,,same,,
LG CHEM DISPLAY MATERIALS (BEIJING),LG CHEM DISPLAY MATERIALS(BEIJING),same,extra space,same,,
LG CHEM KOREA,LG CHEM CHINA INVESTMENT,different,different,different,,
BANK OF AMERICA MERRIL LYNCH,MERRILL LYNCH ,same,start word different,same,,
MERRILL LYNCH,MERRILL LYNCH EUROPE,same,one word different,same,,
VIRGIN MONEY,VIRGIN MONEY GROUP,same,one word different,same,,
FPT RETAIL,FPT INVESTMENT,different,one word different,same,,
FPT TELECOM INTERNATIONAL,FPT INTERNATIONAL TELECOM,same,ordering different,same,,
SUMITOMO MITSUI ASSET MANAGEME,SUMITOMO MITSUI DS ASSET MANAGEMENT,different,different,,,
LOTTE MITSUI CHEMICALS,MITSUI BUSSAN CHEMICALS,different,,,,
KUMHO MITSUI CHEMICALS,MITSUI BUSSAN CHEMICALS,different,,,,
LOTTE MITSUI CHEMICALS,KUMHO MITSUI CHEMICALS,different,first word different,,,
MITSUI BUSSAN CHEMICALS,MITSUI BUSSAN METALS,different,,,,
SUMITOMO MITSUI DS ASSET MANAGEMENT (HK),SUMITOMO MITSUI DS ASSET MANAGEMENT,same,one word missing,,,
MITSUI SUMITOMO INSURANCE (CHINA),MITSUI SUMITOMO INSURANCE (THAILAND BRANCH),different,belongs to diffferent region,,,
MITSUI SUMITOMO INSURANCE,MITSUI SUMITOMO INSURANCE (CHINA),different,belongs to diffferent region,,,
MITSUI SEAFOODS,MITSUISOKO (U ),different,,,,
PERSAN,OPERSAN RESIDUOS INDUSTRIAIS,different,,,,
SALEM FIVE CENTS SAVINGS,SALEM FIVE CENTS SAVINGS,same,,,,
SALEM FIVE CENTS SAVINGS,SALEM FIVE BANK,different,,,,
SALEM FIVE,SALEM FIVE BANK,same,,,,
TRIBUNAL SUPERIOR ELEITORAL,TRIBUNAL SUPERIOR ELEITORAL TRIBUNAL SUPERIOR ELEITORAL,same,,,,
TRIBUNAL SUPERIOR ELEITORAL,TRIBUNAL SUPREMO ELECCIONES,different,,,,
TRIBUNAL SUPERIOR ELEITORAL,TRIBUNAL SUPREMO ELECTORAL,different,,,,
TRIBUNAL SUPERIOR ELEITORAL,TRIBUNAL SUPERIOR ELEITORAL TSE,same,,,,
TRIBUNE PUBLISHING,TRIBUNE PUBLISHING COLUMBIA DA,same,,,,
TRIDENT COMPUTER RESOURCES,TRIDENT COMPUTER RESOURCES TRIDENT COMPUTER RESOURCES,same,,,,
TRIDENT COMPUTER RESOURCES,TRIDENT AUTOMATION,different,,,,
TRICOT,TRIDIUM,different,,,,
TRICOT,TRIHEALTH,different,,,,
TRICOT,TRIFORSEC,different,,,,
TRIDIUM,TRIHEALTH,different,,,,
TRIDIUM,TRIFORSEC,different,,,,
HIGH TECHNOLOGY INDUSTRIES BV,VIETTEL HIGH TECHNOLOGY INDUSTRIES (VHT),different,,,,
HIGH TECHNOLOGY INDUSTRIES BV,HAVEN HIGH TECHNOLOGY COLLEGE,different,,,,
CASELLA WASTE MGMT,CASELLA WASTE MANAGEMENT,same,,,,
CASELLA WASTE MGMT,CASELLA WASTE MANAGEMENT CASELLA WASTE MANAGEMENT,same,,,,
CASELLA WASTE MGMT,CASELLA WASTE SYSTEMS,same,,,,
CASELLA WASTE MGMT,CASELLA WASTE SYSTEMS CASILLA WASTE SYSTEMS,same,,,,
CASELLA WASTE SYSTEMS,CASELLA WASTE SYSTEMS CASILLA WASTE SYSTEMS,same,,,,
BANCO COMPARTAMOS,BANCO CONSORCIO,different,,,,
BANCO CONTINENTAL SAECA,BANCO CONTINENTAL SAECA BANCO CONTINENTAL SAECA,same,,,,
BANCO CONTINENTAL SAECA,BANCO COOPERATIVO SICREDI,different,,,,
EMPRESA MUNICIPAL INFORMATICA,EMPRESA NACIONAL AUTOPISTA,different,,,,
EMPRESA PORTUARIA NACIONAL SANTO TOMAS CASTILLA,EMPRESA PORTUARIA NACIONAL SANTO TOMAS CASTILLAS,same,,,,
EMPRESA PORTUARIA NACIONAL SANTO TOMAS CASTILLA,EMPRESA PORTUARIA NACIONAL SANTO TOMAS CASTILLA EMPORNAC,same,,,,
EMPRESA PUBLICA DEL AGUA,EMPRESA PUBLICA DEL AGUA EPA EP,same,,,,
EMPRESA NACIONAL TELECOMUNICACIONES,EMPRESA NACIONAL TELECOMUNICACIONES SOCIEDAD,same,,,,
EMPRESA NACIONAL TELECOMUNICACIONES,EMPRESA NACIONAL DEL PETROLEO,different,,,,
EMPRESA NACIONAL TELECOMUNICACIONES,EMPRESA NACIONAL INNOVACION,different,,,,
ENAIRE,ENISA,different,,,,
EPA,EPA RTPNC,same,,,,
EP MINERALS,EP SOLUTIONS,different,,,,
HELLMANN WORLDWIDE LOGISTIC GMBH KG,HELLMANN WORLDWIDE LOGISTICS GMBH KG,same,,,,
HELLMANN WORLDWIDE LOGISTIC GMBH KG,HELLMANN WORLWIDE LOGISTICS GMBH KG,same,,,,
JACKIE HAND,JACKIE MILLMAN,different,,,,
UNIVERSO ONLINE,UOL UNIVERSO ONLINE,same,,,,
HYUNDAI GLOVIS,HYUNDAI HYSCO USA,different,,,,
HYUNDAI GLOVIS,SAINT JOHN HYUNDAI,different,,,,
BEIJING HYUNDAI AUTO FINANCE,BEIJING HYUNDAI AUTO RENTAL,different,,,,
BEIJING HYUNDAI MOTOR,BEIJING HYUNDAI TRANSYS,different,,,,
FONDO NACIONAL SALUD,FONDO NACIONAL SALUD FONASA,same,,,,
FONDO NACIONAL PARA EL FOMENTO LAS ARTES,FONDO NACIONAL PARA EL FOMENTO LAS ARTESANIAS,same,,,,
MG INSURANCE,MG NONLIFE INSURANCE,different,,,,
DIGITAL HEALTH AND CARE WALES,AUSTRALIAN DIGITAL HEALTH AGENCY,different,,,,
ABC WAREHOUSE,ABC TV NETWORK,different,,,,
ABC WAREHOUSE,ABC NEWS,different,,,,
ABC WAREHOUSE,ABC NEWS RADIO,different,,,,
ABC WAREHOUSE,ABC SERVICES,different,,,,
NTT DATA,NTT DATA EMEA,same,,,,
NTT DATA,NTT DATA UK,same,,,,
US SPECIAL OPERATIONS COMMAND,US SPECIAL OPERATIONS COMMAND CENTRAL,same,,,,
US SPECIAL OPERATIONS COMMAND,US SPECIAL OPERATIONS COMMAND US SPECIAL OPERATIONS COMMAND,same,,,,
US STATE DEPARTMENT DIPLOMATIC SECURITY,US STATE DEPARTMENT OFFICE OF ACQ,different,,,,
SECRETARIA DA FAZENDA SAO PAULO,SECRETARIA DA FAZENDA GOIAS,different,,,,
SECRETARIA DA FAZENDA SAO PAULO,SECRETARIA DA FAZENDA PERNAMBUCO,different,,,,
SECRETARIA DA FAZENDA DO ESTADO DO RIO JANEIRO,SECRETARIA DA FAZENDA DO ESTADO DO RIO GRANDE DO SUL,different,,,,
DHS OFFICE OF INSPECTOR GENERAL,DHS OFFICE OF INTELLIGENCE AND ANALYSIS,different,,,,
DHS OFFICE OF INSPECTOR GENERAL,DHS OFFICE OF CHIEF INFORMATION OFFICER,different,,,,
DHS ICE,DHS ICE HSI ICE,same,,,,
FEDERAL BUREAU OF INVESTIGATION,FEDERAL BUREAU OF INVESTIGATION FEDERAL BUREAU OF INVESTIGATION,same,,,,
FEDERAL BUREAU OF PRISON,FEDERAL BUREAU OF PRISONS,same,,,,
MINISTERIO DO DESENVOLVIMENTO AGRARIO,MINISTERIO DO DESENVOLVIMENTO AGRARIO MDA,same,,,,
MINISTERIO DO TRABALHO E EMPREGO,MINISTERIO DO TRABALHO E EMPREGO MTE,same,,,,
MINISTERIO DO TRABALHO E EMPREGO MTE,MINISTERIO DO TRABALHO E EMPREGO ,same,,,,
STULZ AIR TECHNOLOGY SYSTEMS,STULZ AIR TECHNOLOGY SYSTEMS SHANGHAI,same,,,,
BEIJING HORIZON INFORMATION TECHNOLOGY,BEIJING HORIZON ROBOTICS TECHNOLOGY R&D,different,,,,
IDAMENEO NO 123 PTY,IDAMENEO NO 123 PTY,same,,,,
ZHENJIANG FIRST PEOPLES HOSPITAL,ZHENJIANG FIRST PEOPLE'S HOSPITAL,same,,,,
FINANZ INFORMATIK TECHNOLOGIE SERVICE GMBH KG,FINANZ INFORMATIK TECHNOLOGIE SERVICE,same,,,,
FINANZ INFORMATIK TECHNOLOGIE SERVICE GMBH KG,FINANZ INFORMATIK GMBH KG,same,,,,
PHOENIX,PHOENIX ASSURANCE,same,,,,
PMO,PMO PRIME MINISTERS OFFICE,same,,,,
PMO PRIME MINISTERS OFFICE,PMOPRIME MINISTER OFFICE,same,,,,
PMO PRIME MINISTERS OFFICE,PRIME MINISTER OFFICE,same,,,,
PRIME MINISTERS OFFICE,PRIME MINISTER'S OFFICE,same,,,,
PRIME MINISTERS OFFICE,PRIME MINISTERS OFFICE PMO,same,,,,
PMO PRIME MINISTERS OFFICE,PRIME MINISTERS OFFICE PMO,same,,,,
EVEREST CLINICAL RESEARCH,EVEREST CLINICAL RESEARCH SERVICE,same,,,,
EVEREST CLINICAL RESEARCH,EVEREST PARTICIPACOES,different,,,,
EVEREST CLINICAL RESEARCH,EVEREST REINSURANCE,different,,,,
HARMONIC,PHILHARMONIC FISHERIES (QINGDAO),different,,,,
PERSONAL SERVICE RECURSOS HUMANOS ASSESSORIA EMPR,PERSONAL SERV REC HUM ASSE EMPRES,same,,,,
PERSONAL SERVICE RECURSOS HUMANOS ASSESSORIA EMPR,PERSONAL SERVICE RECURSOS HUMANOS ASSESSORIA EMPRESARIAL,same,,,,
PERSONAL SERVICE RECURSOS HUMANOS ASSESSORIA EMPRESARIAL,PERSONAL SERV REC HUM ASSE EMPRES,same,,,,
PERSONNEL RECOVERY ACADEMY,PERSONNEL RECOVERY ACADEMY RECOVERY ACADEMY,same,,,,
KOC SISTEM BILGI ILETISIM,KOC SISTEM BILGI ILETISIM HIZMAS,same,,,,
KOC SISTEM BILGI ILETISIM,KOCSISTEM,same,,,,
KOC SISTEM BILGI ILETISIM,KOCSISTEM BILGI VE ILETISIM HIZMETLERI AS,same,,,,
MAURITIUS COMMERCIAL BANK ,MAURITIUS COMMERCIAL BANK CONSULTING SERVICES,same,,,,
TAISHAN PROPERTY INSURANCE,BEIJING POP MART CULTURAL CREATIVE CORPLTD,different,,,,
NCSOFT,M C SPECIALTIES,different,,,,
CUNY YORK COLLEGE,C J CLARK INTERNATIONAL,different,,,,
CUNY YORK COLLEGE,RUN RATE MARZO Q4FY15,different,,,,
CARDIF SERVICIOS,HOTELF 1 TOULOUSE RAMONVILLE,different,,,,
ARAB JORDAN INVESTMENT BANK,REDWOOD COAST DEVELOPMENT SERVICES,different,,,,
TIANJIN ZHONGHUAN SEMICONDUCTOR,KB KUBAN KREDIT,different,,,,
AEROJET ROCKETDYNE WEST,MID HUDSON CABLEVISION,different,,,,
CARLYLE GROUP,ALBERTA HEALTH REGIONS,different,,,,
OFFICE OF INSURANCE COMMISSION,BRITISH RED CROSS SOCIETY,different,,,,
NATIONAL BANK OF UKRAINE,CMCORP SOLUCOES EM INFORMATICA,different,,,,
QATAR OLYMPIC COMMITTEE,PROVIDENT BANK,different,,,,
ZAIN KUWAIT,RABOBANK STAD EN MIDDEN GRONINGEN,different,,,,
UTTAM GALVA STEELS,PAN ASIA TECHNICAL AUTOMOTIVE CENTER,different,,,,
INVENTORY LOCATOR SERVICE,OKBM,different,,,,
YANCHENG DONGSHAN PRECISION MANUFACTURING,SKATTEDIRETORATET SKATTEETATEN,different,,,,
DHL INFORMATION SERVICES EUROPE SRO,ORANGE CENTRAL AFRICAN REPUBLIC,different,,,,
SHANGHAI INASERVICE INFORMATION TECHNOLOGY,KEARNY FIRE DEPARTMENT,different,,,,
T SYSTEMS INTERNATIONAL GMBH PG8108,GESPAG OO GESUNDHEITS UND SPITALS AG,different,,,,
CONSTELLATION BRANDS,ARCELOR MITTAL DUNKERQUE,different,,,,
FOUNDER FUBON FUND MANAGEMENT,GE ENERGY MANUFACTURING,different,,,,
AMIL ASSISTENCIA MEDICA INTERNACIONAL,AYUNTAMIENTO BARCELONA,different,,,,
MSCI,JARDIM ESCOLA CRESCIMENTO,different,,,,
TAKAFUL IKHLAS FAMILY BERHAD,SHROPSHIRE COMMUNITY HEALTH NH,different,,,,
GUARDIAN SAVINGS BANK,MANUFACTURAS INDUSTRIALES,different,,,,
NEWFOLD DIGITAL,JSC UMMCOCM,different,,,,
MINISTERIO DO DESENVOLVIMETO REGIONAL,DIGITAL AUDIO DISC,different,,,,
RIYAD BANK,AIR PRODUCTS CHEMICALS,different,,,,
UTAC DONGGUAN,GENERAL MILLS,different,,,,
CHILDRENS WOMENS HEALTH CENTER OF BC,HUMAN HORIZONS HOLDINGS (SHANGHAI),different,,,,
BLUE CROSS BLUE SHIELD OF KANSAS CITY,SANOFIAVENTIS,different,,,,
PT IONPAY NETWORKS,GOVERNMENT OF JAMAICA,different,,,,
KALIXA,CITY OF FREDERICKSBURG,different,,,,
RADIANT OPTOELECTRONICS,STMICROELECTRONICS NV,different,,,,
NANHAI MATERNITY CHILD HEALTHCARE HOSPITAL OF FOSHAN,TRINTECH INTERNATIONAL,different,,,,
AWE,KPMG,different,,,,
INFRAMERICA AEROPORTO INTERNACIONAL,AXIAN GROUP,different,,,,
BANGKOK SYNTHETICS,DEER HEAD HOSPITAL CENTER,different,,,,
TERADATA,PUBLICIDAD VIRTUAL,different,,,,
DUBLIN AIRPORT AUTHORITY,PROPERTY MANAGEMENT ASSOCIATES USC,different,,,,
MILAHA QATAR NAVIGATION QPSC,SCHWING AMERICA,different,,,,
CHINA MOBILE GROUP ZHEJIANG,RESCHINI GROUP,different,,,,
I D I INSURANCE,IBIS BUDGET TOUEN CENTER RIVE GAUCH,different,,,,
BURSATEC,PONTIFICAL COLLEGE JOSEPHINUM,different,,,,
MASS PORT AUTHORITY,VANNER,different,,,,
AYSA,ZAOQI FINANCIAL LEASING,different,,,,
GT SOLUTION,ENGICOM,different,,,,
SASKATCHEWAN GOVERNMENT INSURANCE,DECKERS OUTDOOR,different,,,,
DIREKTORAT JENDERAL ADMINISTRASI HUKUM UMUM,CONTAR ASSESSORIA CONTABIL,different,,,,
NICE CREDIT INFORMATION SERVICE,BEIJING 27 RAILWAY ROLLING STOCK,different,,,,
KOREA INSTITUTE OF PUBLIC FINANCE,CONNECTICARE,different,,,,
KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,DISTRIBUIDORA TOYOTA A,different,,,,
RAIFFEISEN BANKA AD,ATTORNEY GENERAL HAWAII DEPARTMENT OF,different,,,,
TATA COMMUNICATIONS,SAUDI ARAMCO GHAWAR PRODUCING,different,,,,
DAEWON PHARMACEUTICAL,SEGUROS MONTERREY NEW YORK LIFE,different,,,,
TREASURY,YARGICI,different,,,,
MILLENNIUM PARTNERS LP,CHINA RAILWAY SIXTH GROUP,different,,,,
TAWAZUN ECONOMIC COUNCIL,LIBERTY CABLEVISION OF PUERTO RICO LIBERTY CABLEVISION OF PUERTO RICO,different,,,,
RADIAL,DELAWARE VALLEY SCHOOL DISTRICT,different,,,,
ACI INFORMATICA SPA,PREFEITURA MUNICIPAL CAMPO GRANDE,different,,,,
GTN CMC HOLDING BV,RICK MANSON,different,,,,
RENAULT USINES FRANCE,CHAUCER UNDERWRITING SERVICES,different,,,,
CHINA MOBILE GROUP ANHUI,CISION US,different,,,,
BANK OF OKLAHOMA,SOFTICS INGENIEROS SAS,different,,,,
EMPF PLATFORM,MIDDLESBROUGH COUNCIL,different,,,,
HONG KONG POLICE FORCE,SACRED HEART MEDICAL GROUP SACRED HEART HEALTH SYSTEM,different,,,,
UNITED STATES GOVERNMENT,RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK,different,,,,
STATE VOLUNTEER MUTUAL INSURANCE,"JSC ""NATIONAL CABLE NETWORKS""",different,,,,
AMANA COOPERATIVE INSURANCE,NIPSCO,different,,,,
EDEKA SUDBAYERN HANDELS STIFTUNG KG,ABOUTNET CONSULTING REPRESENTACAO L,different,,,,
PUBLISHING HOUSE OF ELECTRONICS INDUSTRY,STJ SUPERIOR TRIBUNAL JUSTICA,different,,,,
UPS STORE,GRAND TETON NATIONAL PARK,different,,,,
WUHAN XINXIN SEMICONDUCTORMANUFACTURING,SAMSUNG SDI,different,,,,
SAMBA BANK,SICOOB COPERMEC,different,,,,
TOWASUZHOUCO,TATWEER PETROLEUM,different,,,,
XP INVESTIMENTOS CORRETORA CAMBIO TITULOS E VALORES MOBILIARIOS,BANK OF JIANGSU YANCHENG BRANCH,different,,,,
ION TRADING UK,MITSUI CHILE,different,,,,
CENTRO INFORMATICO MUNICIPAL BILBAO CIMUBISA,H STERN COMERCIO E INDUSTRIAL,different,,,,
NEOM,SHANGHAI TOBACCO MACHINERY,different,,,,
AEGIS MEDIA,NORTHROP GRUMMAN GUIDANCE AND ELECTRONICS,different,,,,
BARWA REAL ESTATE GROUP,ZAGERAL,different,,,,
CIMB THAI PCL,FRB RICHMOND,different,,,,
FOSSIL COMMERCIAL SHENZHEN LTDDONGGUAN OFFICE,TVSBT CANAL 4 SAO PAULO,different,,,,
BANQUE MISR,JOHN STARK HIGH SCHOOL,different,,,,
TAWAZUN ECONOMIC COUNCIL,CITY OF MONMOUTH,different,,,,
TUNISIE TELECOM DCSI,UMNIAH TELECOM TECHNOLOGIES,different,,,,
EVA AIRWAYS,LEIGHTON MIDDLE SCHOOL,different,,,,
CATALENT PHARMA SOLUTIONS,TECHNASSOCIATES,different,,,,
GLOBALFOUNDRIES DRESDEN MODULE TWO KG,MAGYAR NEMZETI VAGYONKEZELO ZARTKORUEN MUKODO RESZVENYTARSASAG,different,,,,
GOIAS ASSEMBLEIA LEGISLATIVA DO ESTADO GOIAS,CAPITAL BANK,different,,,,
UNITED HEALTH GROUP,BURKE HERBERT BANK,different,,,,
SKY UK,TIVIT TERCEIRIZACAO PROCESSOS SERVICOS ETECNOLOGIA A,different,,,,
MBANK,TECH EXCELLENCE OFFICE,different,,,,
ZHEJIANG RURAL CREDIT UNION,CERNER CERNER,different,,,,
SANDISK INDIA DEVICE DESIGN CENTER,VIDA PLENA (OPERADORA PENSIONES DEL MAGISTERIO NACIONAL),different,,,,
CHIFENG JILONG GOLD MINING,SHANGHAI AUTOMOTIVE INDUSTRY DEVELOPING,different,,,,
FEDERAL AUTHORITY FOR IDENTITY AND CITIZENSHIP ICA,TOSHIBA ELEVATOR AND BUILDING SYSTEMS,different,,,,
POSTFINANCE AG,SERVICIO NACIONAL MIGRACION,different,,,,
VODACOM PTY,36TH DISTRICT COURT,different,,,,
KING ABDULLA MEDICAL CITY KAMC,AT&T SOLUTIONS,different,,,,
