Company Name,Similar Name,Target,Simple Ratio,partial Ratio,Token Sort Ratio,Token Set Ratio
HARRIS COUNTY CSCD,HARRIS COUNTY,1,84,100,84,100
HARRIS COUNTY CSCD,HARRIS COUNTY ITC,1,86,94,74,87
RICHLAND COUNTY EMERGENCY SERVICES,LANDER COUNTY EMERGENCY SERVICES,0,91,97,91,91
CS RECURSOS GEOTERMICO ICE,CS RECURSOS GEOTAARMICO ICE,1,94,92,94,94
HARRIS COUNTY ITC,HARRIS COUNTY ,1,90,100,87,100
1ST NATIONAL COMMUNITY BANK,1ST NATIONAL BANK,1,77,87,77,100
1ST NATIONAL BANK ST LUCIA,1ST NATIONAL BANK,0,79,100,79,100
FIRST NATIONAL BANK AND TRUST,FIRST NATIONAL BANK TRUST,1,93,89,93,100
1ST NATIONAL COMMUNITY BANK,COMMUNITY FIRST NATIONAL BANK,0,57,74,82,93
20TH CENTURY FOX FILM,20TH CENTURY FOX CONFIG CTR,1,79,89,79,86
4TH CIRCUIT COURT OF APPEALS,4TH CIRCUIT COURT,1,76,100,76,100
4TH CIRCUIT COURT OF APPEALS,COURT OF APPEALS 4TH CIRCUIT,1,57,73,100,100
WOODWARDOHMS,"WOODWARD
",1,76,94,80,80
WORKERS COMPENSATION BOAR,WORKERS COMPENSATION BOARD,1,98,100,98,98
WORKERS COMPENSATION BOARD OF BRITISH COLUMBIA,WORKERS COMPENSATION BOARD OF PRINCE EDWARD ISLAND,0,75,81,60,77
5TH CIRCUIT COURT,7TH CIRCUIT COURT,0,94,97,94,94
513TH ELECTRIC WARFARE SQUADRON,5TH ELECTROMAGNETIC WARFARE SQUADRON,0,87,81,87,87
ORIFLAME CHILE,ORIFLAME COLOMBIA,0,71,85,71,73
ORIFLAME DEL ECUADOR,ORIFLAME MEXICO,0,69,77,69,70
ORION,ORIZON,0,91,80,91,91
5 STONES RESEARCH,"FIVE STONES RESEARCH
",1,84,94,86,94
6TH MEDICAL GROUP,6TH MEDICAL GROUP DEFENSE HEALTH AGENCY,1,61,100,61,100
911SISTEMA NACIONAL ATENCION A EMERGENCIAS Y SEGURIDAD,SISTEMA NACIONAL ATENCION A EMERGENCIAS Y SEGURIDAD 911,1,94,97,86,99
SISTEMA PARA EL DESARROLLO INTEGRAL LA FAMILIA BAJA CA,SISTEMA PARA EL DESARROLLO INTEGRAL LA FAMILIA BAJA CALIFORNIA,1,93,100,93,97
TELEKOM SALES SERVICES SDN,TELEKOM SMART SCHOOL SDN,0,68,67,68,68
DOWNER EDI PROPERTIES,DOWNER EDI SERVICES PTY,0,73,80,77,77
DOWNER EDI WORKS,DOWNER GROUP,0,57,74,57,67
NEW ZEALAD DEFENCE FORCE,NZ DEFENCE FORCE,1,80,93,80,90
NEW ZEALAND POLICE,NEW ZEALAD DEFENCE FORCE,1,67,77,62,67
ASIAN DEVELOPMENT BANK,ASIAN UNION BANK,0,68,55,68,77
BANC D'ORP,BDO UNIBANK,1,29,46,29,29
BANCO ORO UNIVERSAL BANK,BDO UNIBANK,1,57,62,40,40
BANCO ORO UNIVERSAL BANK,BANC D'ORO UNIVERSAL BANK,1,94,92,94,94
ALEXANDRA HEALTH,ALEXANDRA HOSPITAL,1,76,81,76,76
PARKWAY PANTAI,PARKWAY SHENTON,0,69,74,48,69
19TH JUDICIAL DISTRICT COURT,19TH JUDICIAL CIRCUIT,0,78,83,78,78
1FLORIDA INTERNATIONAL UNIVERSITY RECREATION C,1FLORIDA INTERNATIONAL UNIVERSITY RECREATION C,1,100,100,100,100
1ST NATIONAL BANK ST LUCIA,1ST NATIONAL BANK,0,79,100,79,100
COMMISSIONER OF PUBLIC WORKS,COMMISSIONERS OF PUBLIC WORKS,1,98,96,98,98
COMMONWEALTH BANK,COMMONWEALTH CAPITAL,0,76,88,76,83
COMMONWEALTH LAND TITLE,COMMONWEALTH LAND TITLE INSURANCE,1,82,100,82,100
COMMONWEALTH COURT OF PA,COMMONWEALTH COURT OF PENNSYLVANIA,1,83,98,83,93
2MI INFORMATICA,2MI TECNOLGOIA E INFORMATICA,1,70,89,70,100
2S INOVACOES TECNOLOGICAS,2S INOVACOES TECNOLOGICAS,1,100,100,100,100
3M COGENT,3M CANADA,0,56,67,56,56
83 FWS,83 FWS DO4,1,75,100,75,100
A R,A R ENGINEERING,1,33,100,33,100
A F L A C AGENT,A F L A C,1,75,100,75,100
AAM INCORPORADORA IMOVEIS L,AAM INCORPORADORA IMOVEIS,1,96,100,96,100
ABACUS IT,ABACUS SETTLEMENTS,0,59,88,59,80
ABBOTT LABOROTORIES,ABBOTT LABS,1,73,95,73,73
ABC NEWS,ABC NEWS RADIO,1,73,100,73,100
ACCIDENT FUND,ACCIDENT FUND,0,100,100,100,100
ACE BERMUDA INSURANCE,ACE BERMUDA INSURANCE,0,100,100,100,100
1 ACOS,1 ACOS/SCOT,1,71,100,71,100
3S NETWORKS EIRELI,3S NETWORKS ME,0,81,96,81,88
A P TECHNOLOGY,A M TECHNOLOGY,0,93,93,93,93
A R,A R ENGINEERING,1,33,100,33,100
A ANGELONI COMPANHIA,A ANGELONI CIA,1,82,92,82,83
ADAMS KEEGAN,ADAMS FOAM,0,64,75,64,67
ADAPTIVE OPTICS,ADAPTIVE OPTICS ASSOCIATES,1,73,100,73,100
ADAPTIVE OPTICS,ADAPTIVE INSIGHTS,0,69,81,69,70
ADCO INDUSTRIES,ADCO GROUP,0,48,67,48,57
ADCOS INDUSTRIAL E COMERCIO,ADCOS INDUSTRIA E COMERCIO,1,98,96,98,98
ADDOC ADMINISTRACION DOCUMENTOS,ADDOC,1,28,100,28,100
ADECCO USA,ADECCO TERTIAIRE,1,62,82,62,75
ADEMCO RES HEADQUARTERS US,ADEMCO,1,38,100,38,100
ADEXUS PERU,ADEXUS PERU A,1,92,100,92,100
ADEXUS PERU,ADEXUS CHILE,0,70,78,70,71
ADIDAS CHILE,ADIDAS ARGENTINA,0,57,74,57,67
ADIDAS CHILE ,ADIDAS CHILE SUCURSAL DEL PERU,0,60,100,57,100
ADISTEC BOLIVIA,ADISTEC ARGENTINA,0,62,75,62,64
ADISTEC MIAMI,ADISTEC ECUADOR,0,64,76,64,70
ADITIVOS MEXICANOS ADITIVOS MEXICANOS,ADITIVOS MEXICANOS,1,65,100,65,100
ADM PARAGUAY SRL ADM PARAGUAY,ADM PARAGUAY SRL,0,71,100,71,100
ADMINISTRACIAAN PORTUARIA INTEGRAL MANZANILLO,ADMINISTRACIAAN PORTUARIA INTEGRAL ENSENADA,0,84,90,77,88
ADMINISTRACION COMPENSACIONES POR ACCIDENTES AUTOMOVILES,ADMINISTRACION COMPENSACION POR ACCIDENTES AUTOMOVILES,1,98,96,98,98
ADMINISTRACION SEGUROS SALUD PR,ADMINISTRACION SEGUROS SALUD,1,95,100,95,100
ADMINISTRACION SEGUROS DESALUD PUERTO RICO,ADMINISTRACION SEGUROS SALUD PUERTO RICO,1,98,95,83,98
ADITUS SRL,ADIUM PHARMA,0,55,62,55,55
ADMINISTRACION FEDERAL INGRESOS PUBLICOS,ADMINISTRACION FEDERAL INGRESOS PUBLICOSAFIP,0,95,100,95,95
ADMINISTRACION GENERAL PUERTOS,ADMINISTRACION GENERAL PUERTOS SE,1,95,100,95,100
ADMINISTRATIVE OFFICE OF US COURTS,ADMINISTRATIVE OFFICE OF UNITED STATES COURTS,1,86,87,84,95
ADVANCED COMMUNICATION TECHNOLOGIES,ADVANCED COMMUNICATIONS TECHNOLOGY,1,93,97,93,93
ADVANCED MICRO SERVICES,ADVANCED MICRO DEVICES,0,93,91,67,93
ADVANCED SCIENCES TECHNOLOGY,ADVANCED SCIENCE TECHNOLOGIES,0,91,96,91,91
ADVANSIX CHESTERFIELD PLANT ADVANSIX,ADVANSIX CHESTERFIELD PLANT,1,86,100,86,100
ADVENTIST HEALTH CARE,ADVENTIST HEALTH CARE ADVENTIST HEALTH SYSTEM/SUNBELT,1,57,100,57,100
ADVENTIST HEALTH SYSTEM SUNBEL,ADVENTIST HEALTH SYSTEM SUNBELT,1,98,100,98,98
ADVOCATE HEALTH AND HOSPITALS A,ADVOCATE HEALTH AND HOSPITALS,1,97,100,97,100
ADVOCATE HEALTH CARE NETWORK A,ADVOCATE HEALTH CARE NETWORK,1,97,100,97,100
AEG WORLDWIDE PO 23598,AEG WORLDWIDE PO 24090,0,86,90,86,86
AEGON DIRECT MARKETING SERVICES,AEGON DIRECT MARKETING SERVICE,1,98,100,98,98
AEQUITAS INNOVATIONS C O Q9,AEQUITAS INNOVATIONS,1,85,100,85,100
AEROJET ROCKETDYNE HOLDINGS,AEROJET ROCKETDYNE OPERATIONS,1,82,85,82,82
AFFILIATED COMPUTER SERVICES,AFFILIATED COMPUTER SERVICES I,1,97,100,97,100
AGENCE METROPOLITAINE TRANSPORTATION,AGENCE METROPOLITAINE TRANSPORTATION RSEAU TRANSPORT MTROPOLITAIN,1,71,100,71,100
AGENCIA BRASILEIRA INTELIGENCIA ABIN,AGENCIA BRASILEIRA INTELIGENCIA,1,93,100,93,100
AFLAC DISTRICT OFFFICE,AFLAC DISTRICT OFFICE,1,98,95,98,98
AFLAC DISTRICT SALES OFFICE,AFLAC DISTRICT SALES SERVICE,1,87,88,73,87
AFLAC REGINAL OFFICE,AFLAC REGIONAL OFFICE,1,98,95,98,98
SERVICIO EXTREMENO SALUD,SALUD EXTREMADURA,1,49,55,59,63
SERVICIO EXTREMENO SALUD,JUNTA EXTREMADURA,1,44,55,44,44
HASBRO AUSTRALIA,HASBRO,1,55,100,55,100
HASBRO AUSTRALIA,HASBRO HASBRO,1,69,80,69,100
HASBRO AUSTRALIA,HASBRO INTERNATIONAL,1,67,69,39,67
AMICORP MANAGEMENT INDIA,AMICORP HOLDING,0,51,71,62,64
AMICORP MANAGEMENT INDIA,AMICORP HOLDINGS,0,50,69,60,61
AMICORP HOLDING,AMICORP HOLDINGS,1,97,100,97,97
INDITEX,INDITEX_SA,1,82,100,82,100
MANTECH INTERNATIONAL,MANTECH MBI,0,56,90,44,78
MANTECH INTERNATIONAL,MANTECH MSM SECURITY SERVICES,0,52,56,32,52
MANTECH INTERNATIONAL,MANTECH SECURITY,0,59,74,38,61
MANTECH INTERNATIONAL,MANTECH SECURITY TECHNOLOGIES,0,56,63,40,56
MANTECH INTERNATIONAL,MANTECH TELECOMMUNICATIONS AND INFORMATION SYSTEMS,0,48,69,45,51
MANTECH INTERNATIONAL,MANTECH,0,50,100,50,100
MANTECH INTERNATIONAL,MANTECH FEDERAL,0,67,73,67,67
MANTECH INTERNATIONAL,MANTECH ADVANCED SYSTEMS INTERNATIONAL,0,71,82,71,100
MANTECH INTERNATIONAL,MANTECH COMMAND CONTROL SYSTEMS,0,50,59,50,50
MANTECH INTERNATIONAL,MANTECH CYBER SOLUTIONS INTERNATIONAL,0,72,81,72,100
MANTECH INTERNATIONAL,MANTECH ELECTRONICS INTEROPERABILITY SERVICES,0,48,65,48,50
CSX,CSX INTERMODAL,0,35,100,35,100
CSX,CSX TECHNOLOGY,0,35,100,35,100
CSX,CSX TRANSPORTATION,0,29,100,29,100
CSX,CAMBODIA SECURITIES EXCHANGE (CSX),0,16,100,17,100
AL RUYA BILINGUAL SCHOOL,NEW HORIZONS BILINGUAL SCHOOL,0,72,83,68,80
AL RUYA BILINGUAL SCHOOL,SAINT PATRICK BILINGUAL SCHOOL,0,74,83,70,80
NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN SYSTEM,1,98,100,98,98
NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN NORTHROP GRUMMAN SYSTEMS,1,74,100,74,100
NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN SYSTEMS COR,1,92,100,92,100
NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN SYSTEMS CORPORATIO,1,81,100,81,100
NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN SYSTEMS NORTHROP GRUMMAN,1,74,100,74,100
DXC TECHNOLOGY SERVICES,DXC TECHNOLOGY INDIA,1,74,86,74,82
DXC TECHNOLOGY SERVICES,DXC TECHNOLOGY SERVICES,0,100,100,100,100
DXC TECHNOLOGY SERVICES,DXC TECHNOLOGY NORGE AS,0,78,82,74,78
DXC TECHNOLOGY SERVICES,DXC TECHNOLOGY SPAIN,0,79,89,79,82
DXC TECHNOLOGY,DXC TECHNOLOGIES,1,87,96,87,87
DXC TECHNOLOGY,DXC TECHNOLOGIES INDIA,0,72,96,72,72
DXC TECHNOLOGY,DXC TECHNOLOGY (M) SDN,1,78,100,82,100
DXC TECHNOLOGY,DXC TECHNOLOGY (VPC OPERATIONS),0,62,100,65,100
DXC TECHNOLOGY,DXC TECHNOLOGY (VPC OPERATIONS) ESHELTER FACILITY SERVICES GMBH,0,36,100,37,100
DXC TECHNOLOGY AUSTRALIA PTY,DXC TECHNOLOGY AUSTRALIA PTY,0,100,100,100,100
DXC TECHNOLOGY GERMANY DATACENTER E43,DXC TECHNOLOGY SPAIN,0,60,86,60,82
DXC TECHNOLOGY GERMANY DATACENTER E43,DXC TECHNOLOGY (VPC OPERATIONS) ESHELTER FACILITY SERVICES GMBH,1,54,63,51,55
SAMSUNG AUSTIN SEMICONDUCTOR,SAMSUNG ,0,44,100,40,100
SAMSUNG AUSTIN SEMICONDUCTOR,SAMSUNG ELECTRONICS (SUZHOU) SEMICONDUCTOR,0,69,69,71,86
SAMSUNG CARD,SAMSUNG,0,74,100,74,100
INSTITUTO NACIONAL TRAUMATOLOGIA E ORTOPEDIA INTO,INSTITUTO NACIONAL VIAS INVIAS,0,61,78,61,75
INSTITUTO NACIONAL TRAUMATOLOGIA E ORTOPEDIA INTO,INSTITUTO NACIONAL TECNOLOGIA INDUSTRIAL,0,67,74,63,74
OHIO WESLEYAN UNIVERSITY,OHIO STATE UNIVERSITY,0,80,71,67,83
OHIO WESLEYAN UNIVERSITY,OHIO STATE UNIVERSITY MEDICAL CENTER,0,60,80,50,77
OXYA,LA POSTE OXYA,0,47,100,47,100
OXYA,OXYA,0,100,100,100,100
OXYA,OXYA,0,100,100,100,100
ANHEUSER BUSCH,ANHEUSER BUSCH ANHEUSERBUSCH INCORPORATED,1,51,100,51,100
ANHEUSER BUSCH,ANHEUSERBUSCH,1,96,92,96,96
ANHEUSER BUSCH,ANHEUSERBUSCH COMPANIES,1,70,96,70,70
ANHEUSER BUSCH,ANHEUSERBUSCH INBEV,0,79,96,79,79
ANHEUSER BUSCH,ANHEUSERBUSCH INBEV ?CHINA?,0,63,96,67,67
EQUIFAX CANADA,EQUIFAX CANADA,0,100,100,100,100
EQUIFAX CANADA,EQUIFAX,0,67,100,67,100
TRIBUNAL JUSTICA DO DISTRITO FEDERAL E TERRITORIOS TJDFT,TRIBUNAL JUSTICA DO DISTRITO FEDERAL E DOS TERRITORIOS,1,91,96,91,96
TRIBUNAL JUSTICA DO DISTRITO FEDERAL E TERRITORIOS TJDFT,TRIBUNAL JUSTICA DO DISTRITO FEDERAL,1,78,100,78,100
BANFIELD PET HOSPITAL,BANFIELD HOSPITAL,1,89,76,89,100
INTERMEDIA,INTERMEDIX,0,90,95,90,90
INTERMEDIA,INTERMEDIA COMUNICACIONES,0,57,100,57,100
INTERMEDIA,INTERMEDIA HOLDINGS,0,69,100,69,100
INTERMEDIA,INTERMEDIA NET,0,83,100,83,100
INTERMEDIA,INTERMEDIA PARTNERS,0,69,100,69,100
SASKATCHEWAN GOVERNMENT INSURANCE,SASKATCHEWAN GOVERNMENT,1,82,100,82,100
SASKATCHEWAN GOVERNMENT INSURANCE,SASKATCHEWAN GOVERNMENT I,1,86,100,86,96
BOC INTERNATIONAL HOLDINGS,BOC INTERNATIONAL HONG KONG,1,83,92,83,83
BOC INTERNATIONAL HOLDINGS,BOC HONG KONG (HOLDINGS),1,64,59,67,71
BOC INTERNATIONAL HOLDINGS,BOC HONG KONG (GROUP) (HK),1,38,51,46,46
NOKIA SHANGHAI BELL,NOKIA SIEMENS NETWORKS (SHANGHAI),1,54,65,64,85
SEOCHO GU OFFICE,SEOCHOGU OFFICE,1,97,93,84,84
SEOCHO GU OFFICE,SEODAEMUNGU OFFICE,1,71,72,59,59
SEOCHO GU OFFICE,SEODAEMUNGU CITY MANAGEMENT PUBLIC,1,36,48,32,32
EMIRATES NBD,EMIRATES NBD,0,100,100,100,100
EMIRATES NBD,EMIRATES NBD BANK,0,83,100,83,100
EMIRATES NBD,EMIRATES OF SAUDI ARABIA,0,56,86,56,80
YINZHOU BANK,NINGBO YINZHOU RURAL COMMERCIAL BANK,1,50,75,50,100
BUREAU VERITAS MALI,BUREAU VERITAS,0,85,100,85,100
BUREAU VERITAS MALI,BUREAU VERITAS HOLDINGS,0,81,88,81,85
CPC TAIWAN,CPC FINANCE,0,67,74,67,67
CPC TAIWAN,CROWN PRINCE COURT CPC,0,31,46,38,46
SWISSCOM SCHWEIZ AG,SWISSCOM (SCHWEIZ) AG,1,95,89,100,100
SWISSCOM SCHWEIZ AG,SWISSCOM AG,1,73,90,73,100
SWISSCOM SCHWEIZ AG,SWISSCOM,1,59,100,59,100
SYSTEX CORPORARTION,SYSTEX,1,48,100,48,100
SYSTEX CORPORARTION,SYTEX,0,42,80,42,42
SYSTEX CORPORARTION,SYTEX GROUP,0,53,73,53,53
MITAC COMPUTERKUNSHAN,MITAC COMPUTER (SHUNDE),0,77,83,67,81
MEO SERVICOS COMUNICACOES EMULTIMEDIA,MEO,1,15,100,15,100
SAUR,SAUR FRANCE,1,53,100,53,100
SAUR,SAUR STEREAU,1,50,100,50,100
DC OFFICE OF CHIEF TECHNOLOGY OFFICER,DC OFFICE OF CTO,1,60,93,53,86
FUJITSU TECHNOLOGY SOLUTIONS GMBH,FUJITSU TECHNOLOGY SOLUTIONS GMBH FJ GCF FI EMEIA,1,80,100,80,100
FUJITSU TECHNOLOGY SOLUTIONS GMBH,FUJITSU TECHNOLOGY SOLUTIONS GMBH FJ GCF FI EMEIAR,1,80,100,80,100
FUJITSU TECHNOLOGY SOLUTIONS GMBH,FUJITSU TECHNOLOGY SOLUTIONS GMBH FTS ORDER FULFIL,1,80,100,80,100
FUJITSU TECHNOLOGY SOLUTIONS GMBH,FUJITSU TECHNOLOGY SOLUTIONS GMBH HERR MARC JUNGEN,1,80,100,80,100
FUJITSU TECHNOLOGY SOLUTIONS GMBH,FUJITSU TECHNOLOGY SOLUTIONS,1,92,100,92,100
FUJITSU TECHNOLOGY SOLUTIONS GMBH,FUJITSU TDS GMBH,1,61,72,61,86
COMSCORE,COMSCORE COMSCORE,1,64,100,64,100
COMSCORE,COMSCORE NETWORKS,1,64,100,64,100
CHINA MOBILE GROUP SICHUAN,CHINA MOBILE GROUP SHANXI,0,90,91,90,90
UNIVERSITY OF NEBRASKA,UNIVERSITY OF NEBRASKA AT KEARNEY,0,80,100,80,100
UNIVERSITY OF NEBRASKA,UNIVERSITY OF NEBRASKA AT LINCOLN,0,80,100,80,100
CONAIR,CONAIR,0,100,100,100,100
CONAIR,CONAIR LL ,1,75,100,80,100
WHOLE FOODS,WHOLE FOODS MARKET LP,1,69,100,69,100
WHOLE FOODS,WHOLE FOODS MARKET NA REGION,1,56,100,56,100
WHOLE FOODS,WHOLE FOODS MARKET SERVICES,1,58,100,58,100
YASKAWA ELECTRIC AMERICA,YASKAWA AMERICA,1,77,75,77,100
SPIN VFX,SPIN VFX,0,100,100,100,100
SPIN VFX,SPIN,0,67,100,67,100
URBAN REDEVELOPMENT AUTHORITY,URBAN REDEVELOPMENT AUTHORITY,0,100,100,100,100
URBAN REDEVELOPMENT AUTHORITY,URBAN RENEWAL AUTHORITY,0,77,67,77,79
HATTHA KAKSEKAR,HATTHA BANK,1,69,86,46,71
HANGZHOU WATER INDUSTRY GROUP,HANGZHOU WATER GROUP,1,82,86,82,100
HANGZHOU WATER INDUSTRY GROUP,HANGZHOU WATER GROUP XIANGFU WATER PLANT,1,64,82,70,82
SUNCORP CORPORATE SERVICES PTY,SUNCORP,1,38,100,38,100
SUNCORP CORPORATE SERVICES PTY,SUNCORPMETWAY,1,47,70,33,33
TIBCO SOFTWARE INDIA,TIBCO,0,40,100,40,100
TIBCO SOFTWARE INDIA,TIBCO SOFTWARE,0,82,100,82,100
TIBCO SOFTWARE,TIBCO,1,53,100,53,100
ADNOC REFINING,ADNOC REFINING,0,100,100,100,100
ALBERTS ORGANICS,ALBERT'S ORGANICS,1,97,94,91,97
