Company Name,Similar Name,Same/Different,Category,Country same or not,Parent same or not,Unnamed: 6,Simple Ratio,partial Ratio,Token Sort Ratio,Token Set Ratio
WHOLE FOODS,WHOLE FOODS MARKET LP,same,2 words extra at end,same,same,,69,100,69,100
WHOLE FOODS,WHOLE FOODS MARKET NA REGION,same,2 words extra at end,same,same,,56,100,56,100
WHOLE FOODS,WHOLE FOODS MARKET SERVICES,same,1 words extra at en1,same,same,,58,100,58,100
YASKAWA ELECTRIC AMERICA,YASKAWA AMERICA,same,2nd word missing,same,same,,77,75,77,100
SPIN VFX,SPIN VFX,different,,different,same,,100,100,100,100
SPIN VFX,SPIN,different,last word missing,different,same,,67,100,67,100
URBAN REDEVELOPMENT AUTHORITY,URBAN REDEVELOPMENT AUTHORITY,different,,different,different,,100,100,100,100
URBAN REDEVELOPMENT AUTHORITY,URBAN RENEWAL AUTHORITY,different,2nd word different,different,different,,77,67,77,79
HATTHA KAKSEKAR,HATTHA BANK,same,last word different,same,same,,69,86,46,71
HANGZHOU WATER INDUSTRY GROUP,HANGZHOU WATER GROUP,same,1 word missing,same,same,,82,86,82,100
HANGZHOU WATER INDUSTRY GROUP,HANGZHOU WATER GROUP XIANGFU WATER PLANT,same,3 words extra,same,same,,64,82,70,82
SUNCORP CORPORATE SERVICES PTY,SUNCORP,same,3 words missing,same,same,,38,100,38,100
SUNCORP CORPORATE SERVICES PTY,SUNCORPMETWAY,same,misspelled,same,same,,47,70,33,33
TIBCO SOFTWARE INDIA,TIBCO,different,2 words missing,different,different,,40,100,40,100
TIBCO SOFTWARE INDIA,TIBCO SOFTWARE,different,last words missing,different,different,,82,100,82,100
TIBCO SOFTWARE,TIBCO,same,last word missing,same,same,,53,100,53,100
ADNOC REFINING,ADNOC REFINING,different,,same,same,,100,100,100,100
ALBERTS ORGANICS,ALBERT'S ORGANICS,same,One extra character,,,,97,94,91,97
ALBERTSONS COMPANIES,ALBERTSON'S COMPANIES,same,One extra character,,,,98,95,93,98
ALCALDIA ENVIGADO,ALCALDIA ENVIGADO,same,,,different name spellings,,100,100,100,100
ALCALDIA ENVIGADO MUNICIPIO ENVIGADO,ALCALDIA ENVIGADO,same,Last 2 words missing,,,,64,100,64,100
ALCOA WORLD ALUMINA BRASIL,ALCOA WORLD ALUMINA,different,,different,segment different,,84,100,84,100
IS GROUP BV,IS GROUP BV,different,,different,same,,100,100,100,100
IS GROUP BV,IS GROUP BV,same,,same,same,,100,100,100,100
KONINKLIJKE KPN NV,KONINKLIJKE KPN NV,different,,different,same,,100,100,100,100
KONINKLIJKE KPN NV,KONINKLIJKE KPN NV,same,,same,same,,100,100,100,100
KPN,KPN,different,,different,same,,100,100,100,100
KPN,KPN,same,,same,same,,100,100,100,100
KPN,KPN BV,different,,different,same,,67,100,67,100
KPN BV,KPN BV,different,,different,same,,100,100,100,100
KPN BV,KPN BV,same,,same,same,,100,100,100,100
KPN BV MOBILE,KPN,different,,different,same,,38,100,38,100
KPN BV MOBILE,KPN BV,different,,different,same,,63,100,63,100
KPN BV MOBILE,KPN BV MOBILE,different,,different,same,,100,100,100,100
KPN CORPORATE MARKET BV,KPN CORPORATE MARKET BV,different,,different,same,,100,100,100,100
KPN CORPORATE MARKET BV,KPN,different,,different,same,,23,100,23,100
KPN CORPORATE MARKET BV TAV ACCOUNTS PAYABLE,KPN CORPORATE MARKET BV TAV ACCOUNTS PAYABLE,different,,different,same,,100,100,100,100
KPN CORPORATE MARKET BV TAV ACCOUNTS PAYABLE,KPN CORPORATE MARKET BV TAV ACCOUNTS PAYABLE,same,,same,same,,100,100,100,100
KPN CORPORATE MARKET BV TAV ACCOUNTS PAYABLE,KPN,different,,different,same,,13,100,13,100
KPN EURORINGS BV,KPN EURORINGS BV,different,,different,same,,100,100,100,100
KPN EURORINGS BV,KPN EURORINGS BV,same,,same,same,,100,100,100,100
KPN EURORINGS BV,KPN,different,,different,same,,32,100,32,100
KPN IT SOLUTIONS,KPN IT SOLUTIONS,different,,different,same,,100,100,100,100
KPN IT SOLUTIONS,KPN,different,,different,same,,32,100,32,100
KPN ITNL,KPN ITNL,different,,different,same,,100,100,100,100
KPN ITNL,KPN ITNL,same,,same,same,,100,100,100,100
KPN ITNL,KPN,different,,different,same,,55,100,55,100
KPN MOBILE HOLDING BV,KPN MOBILE HOLDING BV,different,,different,same,,100,100,100,100
KPN MOBILE HOLDING BV,KPN MOBILE HOLDING BV,same,,same,same,,100,100,100,100
KPN MOBILE HOLDING BV,KPN,different,,different,same,,25,100,25,100
KPN MOBILE INTERNATIONAL BV,KPN MOBILE INTERNATIONAL BV,different,,different,same,,100,100,100,100
KPN MOBILE INTERNATIONAL BV,KPN MOBILE INTERNATIONAL BV,same,,same,same,,100,100,100,100
KPN MOBILE INTERNATIONAL BV,KPN,different,,different,same,,20,100,20,100
KPN MOBILE NV,KPN MOBILE NV,different,,different,same,,100,100,100,100
KPN MOBILE NV,KPN MOBILE NV,same,,same,same,,100,100,100,100
KPN MOBILE NV,KPN,different,,different,same,,38,100,38,100
KPN TELECOM BV,KPN TELECOM BV,different,,different,same,,100,100,100,100
KPN TELECOM BV,KPN TELECOM BV,same,,same,same,,100,100,100,100
KPN TELECOM BV,KPN,different,,different,same,,35,100,35,100
KPN TELFORT BV,KPN TELFORT BV,different,,different,same,,100,100,100,100
KPN TELFORT BV,KPN TELFORT BV,same,,same,same,,100,100,100,100
KPN TELFORT BV,KPN,different,,different,same,,35,100,35,100
KPN TELFORT BV,KPN TELECOM BV,different,,different,same,,79,79,79,79
KPN WHOLESALES AFDELING W O WS CUST OMER PERFORMAN,KPN WHOLESALES AFDELING W O WS CUST OMER PERFORMAN,different,,different,same,,100,100,100,100
KPN WHOLESALES AFDELING W O WS CUST OMER PERFORMAN,KPN WHOLESALES AFDELING W O WS CUST OMER PERFORMAN,same,,same,same,,100,100,100,100
KPN WHOLESALES AFDELING W O WS CUST OMER PERFORMAN,KPN,different,,different,same,,11,100,11,100
KPNEURORINGS BV,KPNEURORINGS BV,different,,different,same,,100,100,100,100
KPNEURORINGS BV,KPNEURORINGS BV,same,,same,same,,100,100,100,100
KPNEURORINGS BV,KPN,different,,different,same,,33,100,33,33
ROUTIT BV,ROUTIT BV,different,,different,same,,100,100,100,100
ROUTIT BV,ROUTIT BV,same,,same,same,,100,100,100,100
TELFORT BV,TELFORT BV,different,,different,same,,100,100,100,100
TELFORT BV,TELFORT BV,same,,different,same,,100,100,100,100
TELFORT SERVICES BV,TELFORT SERVICES BV,different,,different,same,,100,100,100,100
TELFORT SERVICES BV,TELFORT SERVICES BV,same,,same,same,,100,100,100,100
TELFORT SERVICES BV,TELFORT BV,different,,different,same,,69,89,69,100
TELFORT ZAKELIJK BV,TELFORT ZAKELIJK BV,different,,different,same,,100,100,100,100
TELFORT ZAKELIJK BV,TELFORT ZAKELIJK BV,same,,same,same,,100,100,100,100
BUDERUS EDELSTAHLWERKE NL BV,BUDERUS EDELSTAHLWERKE NL BV,different,,different,same,,100,100,100,100
BUDERUS EDELSTAHLWERKE NL BV,BUDERUS EDELSTAHLWERKE NL BV,same,,same,same,,100,100,100,100
LSV MINERVA,LSV MINERVA,different,,different,same,,100,100,100,100
LSV MINERVA,LSV MINERVA,same,,same,same,,100,100,100,100
LUCHTVERKEERSLEID SCHIPHO RAYMOND PIJNENBURG,LUCHTVERKEERSLEID SCHIPHO RAYMOND PIJNENBURG,different,,different,same,,100,100,100,100
LUCHTVERKEERSLEID SCHIPHO RAYMOND PIJNENBURG,LUCHTVERKEERSLEID SCHIPHO RAYMOND PIJNENBURG,same,,same,same,,100,100,100,100
LUCHTVERKEERSLEIDING,LUCHTVERKEERSLEIDING,different,,different,same,,100,100,100,100
LUCHTVERKEERSLEIDING,LUCHTVERKEERSLEIDING,same,,same,same,,100,100,100,100
LUCHTVERKEERSLEIDING,LUCHTVERKEERSLEID SCHIPHO RAYMOND PIJNENBURG,different,,different,same,,62,92,62,62
LUCHTVERKEERSLEIDING NEDERLAND,LUCHTVERKEERSLEIDING NEDERLAND,different,,different,same,,100,100,100,100
LUCHTVERKEERSLEIDING NEDERLAND,LUCHTVERKEERSLEIDING NEDERLAND,same,,same,same,,100,100,100,100
LUCHTVERKEERSLEIDING NEDERLAND,LUCHTVERKEERSLEIDING,different,,different,same,,80,100,80,100
LUCHTVERKEERSLEIDING NEDERLAND,LUCHTVERKEERSLEID SCHIPHO RAYMOND PIJNENBURG,different,,,same,,62,75,68,68
LUCHTVERKEERSLEIDING NEDERLAND MAGAZIJN,LUCHTVERKEERSLEIDING NEDERLAND MAGAZIJN,different,,different,same,,100,100,100,100
LUCHTVERKEERSLEIDING NEDERLAND MAGAZIJN,LUCHTVERKEERSLEIDING NEDERLAND MAGAZIJN,same,,same,same,,100,100,100,100
LUCHTVERKEERSLEIDING NEDERLAND MAGAZIJN,LUCHTVERKEERSLEIDING NEDERLAND,different,,different,same,,87,100,87,100
LUCHTVERKEERSLEIDING NEDERLAND MAGAZIJN,LUCHTVERKEERSLEIDING,different,,,same,,68,100,68,100
LUCHTVERKEERSLEIDING NEDERLANDS,LUCHTVERKEERSLEIDING NEDERLANDS,different,,different,same,,100,100,100,100
LUCHTVERKEERSLEIDING NEDERLANDS,LUCHTVERKEERSLEIDING NEDERLANDS,same,,same,same,,100,100,100,100
LUCHTVERKEERSLEIDING NEDERLANDS,LUCHTVERKEERSLEIDING NEDERLAND MAGAZIJN,different,,different,same,,86,98,86,86
LUCHTVERKEERSLEIDING NEDERLANDS,LUCHTVERKEERSLEIDING NEDERLAND,different,,,same,,98,100,98,98
LUCHTVERKEERSLEIDING NEDERLANDS,LUCHTVERKEERSLEIDING,different,,,same,,78,100,78,100
H PRODUCTFULFILMENT BV,H PRODUCTFULFILMENT BV,different,,different,same,,100,100,100,100
H PRODUCTFULFILMENT BV,H PRODUCTFULFILMENT BV,same,,same,same,,100,100,100,100
NEDERLANDS KANKER INSTITUUT,NEDERLANDS KANKER INSTITUUT,different,,different,same,,100,100,100,100
NEDERLANDS KANKER INSTITUUT,NEDERLANDS KANKER INSTITUUT,same,,same,same,,100,100,100,100
NKI,NKI,different,,different,same,,100,100,100,100
NKI,NKI,same,,same,same,,100,100,100,100
STICHTING BIOMED NKI AVL,STICHTING BIOMED NKI AVL,different,,different,same,,100,100,100,100
STICHTING BIOMED NKI AVL,STICHTING BIOMED NKI AVL,same,,same,same,,100,100,100,100
MEDISIZE,MEDISIZE,different,,different,same,,100,100,100,100
MEDISIZE,MEDISIZE,same,,same,same,,100,100,100,100
MODULAR LIGHTING NEDERLAND BV,MODULAR LIGHTING NEDERLAND BV,different,,different,same,,100,100,100,100
MODULAR LIGHTING NEDERLAND BV,MODULAR LIGHTING NEDERLAND BV,same,,same,same,,100,100,100,100
PHILIPS,PHILIPS,different,,different,same,,100,100,100,100
PHILIPS,PHILIPS,same,,same,same,,100,100,100,100
PHILIPS ELECTRONICS NEDERLAND,PHILIPS ELECTRONICS NEDERLAND,different,,different,same,,100,100,100,100
PHILIPS ELECTRONICS NEDERLAND,PHILIPS ELECTRONICS NEDERLAND,same,,same,same,,100,100,100,100
PHILIPS ELECTRONICS NEDERLAND,PHILIPS,different,,different,same,,39,100,39,100
PHILIPS ELECTRONICS NEDERLAND BV,PHILIPS ELECTRONICS NEDERLAND BV,different,,different,same,,100,100,100,100
PHILIPS ELECTRONICS NEDERLAND BV,PHILIPS ELECTRONICS NEDERLAND BV,same,,same,same,,100,100,100,100
PHILIPS ELECTRONICS NEDERLAND BV,PHILIPS ELECTRONICS NEDERLAND,different,,different,same,,95,100,95,100
US FOODSERVICE,US FOOSERVICE,same,spelling error,same,,,96,92,96,96
US FOREST SERVICE ROCKY MOUNTAIN,US FOREST SERVICE ROCKY MTN,same,short form,same,,,92,96,92,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI BEIHAI BRANCH,different,different region,same,,,94,92,94,94
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI CHONGZUO BRANCH,different,different region,same,,,84,85,81,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI FANGCHENGGANG BRANCH,different,different region,same,,,84,86,77,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI GUIGANG BRANCH,different,different region,same,,,88,85,82,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI GUILIN BRANCH,different,different region,same,,,89,87,84,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI HECHI BRANCH,different,different region,same,,,90,90,85,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI HEZHOU BRANCH,different,different region,same,,,89,87,84,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI LAIBIN BRANCH,different,different region,same,,,91,90,84,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI LIUZHOU BRANCH,different,different region,same,,,88,85,82,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI NANNING BRANCH,different,different region,same,,,90,87,82,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI QINZHOU BRANCH,different,different region,same,,,88,85,82,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI WUZHOU BRANCH,different,different region,same,,,86,85,84,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI YULIN BRANCH,different,different region,same,,,90,90,85,92
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG DONGGUAN BRANCH,different,different region,same,,,86,86,82,89
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG FOSHAN BRANCH,different,different region,same,,,88,86,84,91
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG GUANGZHOU BRANCH,different,different region,same,,,92,91,79,92
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG HEYUAN BRANCH,different,different region,same,,,88,86,81,91
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG HUIZHOU BRANCH,different,different region,same,,,94,93,80,94
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG JIANGMEN BRANCH,different,different region,same,,,84,84,80,89
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG JIEYANG BRANCH,different,different region,same,,,85,84,80,90
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG MAOMING BRANCH,different,different region,same,,,87,86,80,90
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG MEIZHOU BRANCH,different,different region,same,,,92,91,80,92
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG QINGYUAN BRANCH,different,different region,same,,,84,84,80,89
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG SHANTOU BRANCH,different,different region,same,,,92,91,80,92
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG SHANWEI BRANCH,different,different region,same,,,87,86,80,90
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG SHENZHEN BRANCH,different,different region,same,,,89,89,80,89
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG YANGJIANG BRANCH,different,different region,same,,,83,82,79,89
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG YUNFU BRANCH,different,different region,same,,,87,86,82,92
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG ZHANJIANG BRANCH,different,different region,same,,,85,86,79,89
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG ZHAOQING BRANCH,different,different region,same,,,89,89,80,89
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG ZHONGSHAN BRANCH,different,different region,same,,,88,86,79,89
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG ZHUHAI BRANCH,different,different region,same,,,91,88,81,91
CHINA MOBILE GROUP FUJIAN NINGDE BRANCH,CHINA MOBILE GROUP FUJIAN PUTIAN BRANCH,different,different region,same,,,90,90,90,90
CHINA MOBILE GROUP FUJIAN NINGDE BRANCH,CHINA MOBILE GROUP FUJIAN QUANZHOU BRANCH,different,different region,same,,,85,82,85,90
CHINA MOBILE GROUP FUJIAN NINGDE BRANCH,CHINA MOBILE GROUP FUJIAN SANMING BRANCH,different,different region,same,,,94,92,94,94
CHINA MOBILE GROUP FUJIAN NINGDE BRANCH,CHINA MOBILE GROUP FUJIAN XIAMEN BRANCH,different,different region,same,,,90,90,90,90
CHINA MOBILE GROUP FUJIAN NINGDE BRANCH,CHINA MOBILE GROUP FUJIAN ZHANGZHOU BRANCH,different,different region,same,,,86,82,86,90
CHINA MOBILE GROUP FUJIAN NANPING BRANCH,CHINA MOBILE GROUP FUJIAN NINGDE BRANCH,different,different region,same,,,94,92,94,94
GUANGZHOU AUTOMOBILE GROUP RND CENTER,GUANGZHOU AUTOMOBILE GROUP FINANCE,different,,same,,,85,90,82,87
GUANGZHOU AUTOMOBILE GROUP RND CENTER,GUANGZHOU AUTOMOBILE GROUP COMPONENT,different,,same,,,85,87,85,85
GENERAL COMISSION FOR SURVEY,GENERAL COMMISSION OF SURVEY,same,spelling error,same,,,93,93,86,93
INSTITUTE OF PUBLIC ADMINISTRATION,INSTITUTE OF PUBLICADMINISTRATION,same,spelling error,same,,,99,97,57,81
INSTITUTE OF PUBLIC ADMINISTRATIO,INSTITUTE OF PUBLIC ADMINISTRATION,same,spelling error,same,,,99,100,99,99
IPA INSTITUTE OF PUBLIC ADMINISTRATION,IPAINSTITUTE OF PUBLIC ADMINISTRATION,same,spelling error,same,,,99,97,91,91
MINISTRY OF COMMUNICATION AND IT,MINISTRY OF COMMUNICATIONS AND INFORMATION TECHNOLOGY MCIT,same,short form,same,,,71,97,71,71
KKU KING KHALID UNIVERSITY,KING KHALID UNIVERSITYKKU,same,ordering different,same,,,86,94,86,86
KING KHALED UNIVERSITYKKU,KING KHALED UNIVERSITY (KKU),same,,same,,,94,94,86,86
KING KHALED UNIVERSITYKKU,KING KHALED UNIVERSITY,same,,same,,,94,100,94,94
NATIONAL GUARD HEALTH AFFAIRS (NGHA),NATIONAL GUARD HEALTH AFFAIRS NGHA,same,,same,,,97,97,100,100
MINISTRY OF JUSTICE MOJ,MINISTY OF JUSTICE MOJ,same,spelling error,same,,,98,95,98,98
MINISTRY OF JUSTICE MOJ,MINISTRY OF JUSTICE (MOJ),same,,same,,,96,96,100,100
REGIE L ENERGIE,REGIE LENERGIE,different,different,same,,,97,93,90,90
REFRESCOS BANDEIRANTES INDUSTRIAL E COMERCIO,REFRESCOS BANDEIRANTES INDUSTRY COM,same,,same,,,86,92,86,86
REFINERIA CARTAGENA,REFINERIA CARTAGENA SAS,same,missing word,same,,,90,100,90,100
REFINERIA CARTAGA,REFINERIA CARTAGENA SAS,same,spelling error,same,,,85,97,85,85
REFINERIA CARTAGA,REFINERIA CARTAGENA,same,spelling error,same,,,94,97,94,94
REED ELSEVIER,REED ELSEVIER TECHNOLOGY SERVICES,same,,same,,,57,100,57,100
TERREBONNE PARISH CONSOLIDATED,TERREBONNE PARISH CLERK OF COURT,different,,same,,,71,82,68,72
UNIVERSITI MALAYSIA TERENGGANU,UNIVERSITI MALAYSIA TERENGGANU (UMT),same,,same,,,91,100,94,100
FELDA PALM INDUSTRIES SDN,FELDA PRODATA SYSTEMS SDN,different,,same,,,68,68,52,60
CHINA MOBILE GROUP GUANGXI HECHI BRANCH,CHINA MOBILE GROUP GUANGXI HEZHOU BRANCH,different,different region,same,,,94,92,94,94
CHINA MOBILE GROUP GUANGXI GUIGANG BRANCH,CHINA MOBILE GROUP GUANGXI GUILIN BRANCH,different,different region,same,,,94,92,94,94
CHINA MOBILE GROUP GUANGXI CHONGZUO BRANCH,CHINA MOBILE GROUP GUANGXI GUIGANG BRANCH,different,different region,same,,,87,85,80,89
CHINA MOBILE GROUP GUANGXI BEIHAI BRANCH,CHINA MOBILE GROUP GUANGXI CHONGZUO BRANCH,different,different region,same,,,85,84,80,90
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI BEIHAI BRANCH,different,different region,same,,,94,92,94,94
ABEL SMITH SCHOOL ANGELO LUCA,ABEL SMITH SCHOOL WOODHALL CHARITABLE TRUST,different,different region,same,,,64,78,56,74
YOUR HEALTH CARE,YOUR HEALTHCARE CIC,same,extra space,same,,,86,97,74,74
YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,same,,same,,,100,100,100,100
SDIS 78,SDIS 84,different,,same,,,86,92,86,86
SDIS 12,SDIS 49,different,,same,,,71,83,71,73
SDIS 12,SDIS 14,different,,same,,,86,92,86,86
METZ METROPOLE,METZ METROPOLE DEVELOPPEMENT,same,,same,,,67,100,67,100
JOAO DANIEL FILMES,JOAO FORTES ENGENHARIA,different,,same,,,40,55,55,55
JOB CORPS CENTER,JOB CORPS DATA CENTER,same,,same,,,86,77,86,100
JHSF ADMINIST DO CAT AEROP EXEC,JHSF ADMINISTRADORA DO CATARINA AEROPORTO EXECUTIVO,same,short form,same,,,76,75,76,76
JHU APL,JHUAPL,same,extra space,same,,,92,83,46,46
LG ENERGY SOLUTION TECHNOLOGY (NANJING),LG ENERGY SOLUTION BATTERY (NANJING),same,,same,,,85,81,73,87
LG ENERGY SOLUTION (NANJING),LG ENERGY SOLUTION TECHNOLOGY (NANJING),same,,same,,,84,81,83,100
LG ELECTRONICS(HUIZHOU),LG ELECTRONICS(KUNSHAN),different,belongs to different region,same,,,78,82,77,78
LG ELECTRONICS NANJING BATTERY PACK,LG ELECTRONICS NANJING VEHICLE COMPONENTS,different,,same,,,68,80,68,77
LG CHEM DISPLAY MATERIALS (BEIJING),LG CHEM DISPLAY MATERIALS(BEIJING),same,extra space,same,,,99,97,100,100
LG CHEM KOREA,LG CHEM CHINA INVESTMENT,different,different,different,,,49,76,49,70
BANK OF AMERICA MERRIL LYNCH,MERRILL LYNCH ,same,start word different,same,,,57,92,59,59
MERRILL LYNCH,MERRILL LYNCH EUROPE,same,one word different,same,,,79,100,79,100
VIRGIN MONEY,VIRGIN MONEY GROUP,same,one word different,same,,,80,100,80,100
FPT RETAIL,FPT INVESTMENT,different,one word different,same,,,50,67,50,50
FPT TELECOM INTERNATIONAL,FPT INTERNATIONAL TELECOM,same,ordering different,same,,,68,81,100,100
SUMITOMO MITSUI ASSET MANAGEME,SUMITOMO MITSUI DS ASSET MANAGEMENT,different,different,,,,92,90,92,92
LOTTE MITSUI CHEMICALS,MITSUI BUSSAN CHEMICALS,different,,,,,71,68,71,84
KUMHO MITSUI CHEMICALS,MITSUI BUSSAN CHEMICALS,different,,,,,71,68,71,84
LOTTE MITSUI CHEMICALS,KUMHO MITSUI CHEMICALS,different,first word different,,,,82,90,82,84
MITSUI BUSSAN CHEMICALS,MITSUI BUSSAN METALS,different,,,,,84,82,84,84
SUMITOMO MITSUI DS ASSET MANAGEMENT (HK),SUMITOMO MITSUI DS ASSET MANAGEMENT,same,one word missing,,,,93,100,96,100
MITSUI SUMITOMO INSURANCE (CHINA),MITSUI SUMITOMO INSURANCE (THAILAND BRANCH),different,belongs to diffferent region,,,,84,92,78,89
MITSUI SUMITOMO INSURANCE,MITSUI SUMITOMO INSURANCE (CHINA),different,belongs to diffferent region,,,,86,100,89,100
MITSUI SEAFOODS,MITSUISOKO (U ),different,,,,,60,72,67,67
